pi0_count	pi+_count	kaon0_count	kaon+_count	proton_count	neutron_count
pi0_mass	pi+_mass	kaon0_mass	kaon+_mass	proton_mass	neutron_mass
pi0_pt	pi+_pt	kaon0_pt	kaon+_pt	proton_pt	neutron_pt
341 271 0 38 168 244
0.134997 0.139592 0 0.493599 0.939517 0.939863
0.340131 0.382485 0 0.475053 0.148714 0.108914
451 393 0 43 187 258
0.135 0.139595 0 0.493589 0.939294 0.93981
0.333173 0.379792 0 0.449931 0.207638 0.154691
594 503 0 81 213 247
0.134997 0.139601 0 0.493599 0.939206 0.939804
0.330542 0.380424 0 0.467535 0.276965 0.225803
657 586 0 66 187 262
0.135008 0.139604 0 0.493598 0.939297 0.939805
0.336894 0.375169 0 0.393582 0.196588 0.209198
475 401 0 44 192 240
0.134994 0.139599 0 0.4936 0.939387 0.939842
0.33574 0.355999 0 0.424434 0.162318 0.129552
558 469 0 56 181 259
0.135003 0.139599 0 0.493601 0.939285 0.939812
0.328347 0.370219 0 0.462192 0.197384 0.174262
556 490 0 57 178 267
0.135006 0.139599 0 0.493592 0.939381 0.939807
0.334163 0.389195 0 0.431478 0.187418 0.200306
686 614 0 63 204 271
0.135003 0.139599 0 0.4936 0.939214 0.939786
0.360804 0.3396 0 0.427499 0.250084 0.248588
459 398 0 62 191 255
0.135007 0.139613 0 0.493604 0.939331 0.939821
0.328948 0.381755 0 0.513305 0.206348 0.173495
486 405 0 52 188 247
0.135003 0.139595 0 0.4936 0.939366 0.93982
0.358679 0.363743 0 0.535188 0.183492 0.148876
670 587 0 62 199 255
0.134997 0.139602 0 0.4936 0.939024 0.939805
0.345172 0.377047 0 0.523869 0.264195 0.210001
600 487 0 60 185 259
0.134997 0.139596 0 0.4936 0.939337 0.939806
0.332647 0.351145 0 0.475249 0.213235 0.199365
330 288 0 25 191 240
0.134987 0.139597 0 0.493598 0.939436 0.939857
0.334016 0.342727 0 0.482515 0.14698 0.120489
507 450 0 68 186 253
0.135003 0.139602 0 0.493601 0.939329 0.939821
0.35587 0.382711 0 0.498765 0.201933 0.171552
723 611 0 81 209 257
0.135 0.139601 0 0.493599 0.939127 0.939789
0.33832 0.355305 0 0.473247 0.269781 0.218264
581 509 0 64 189 268
0.134999 0.1396 0 0.493603 0.939266 0.939817
0.32044 0.356949 0 0.55213 0.23765 0.161602
671 587 0 74 216 262
0.135 0.139607 0 0.493604 0.93919 0.939809
0.358134 0.344607 0 0.49147 0.272745 0.248963
533 507 0 59 192 249
0.135005 0.139601 0 0.4936 0.939275 0.93983
0.353384 0.352733 0 0.512474 0.242545 0.15975
515 458 0 45 176 258
0.134998 0.139595 0 0.4936 0.939406 0.939811
0.322115 0.352122 0 0.485597 0.185199 0.158735
595 511 0 57 199 245
0.135 0.139604 0 0.493599 0.939277 0.939824
0.332157 0.372704 0 0.506068 0.212196 0.172036
257 233 0 34 184 239
0.134995 0.139597 0 0.493603 0.939564 0.939869
0.334346 0.349222 0 0.405107 0.129457 0.0947202
384 362 0 36 177 252
0.134997 0.139599 0 0.493602 0.939423 0.939838
0.342494 0.353383 0 0.412739 0.182074 0.125494
414 368 0 41 188 242
0.134988 0.139591 0 0.493603 0.939418 0.939853
0.334852 0.362591 0 0.507035 0.146949 0.126682
499 410 0 39 200 247
0.134998 0.139605 0 0.4936 0.939906 0.939815
0.347699 0.353628 0 0.460952 0.198223 0.141856
489 428 0 61 193 249
0.134991 0.139603 0 0.493602 0.939296 0.93982
0.331738 0.3689 0 0.462427 0.243733 0.158298
587 558 0 73 197 251
0.135005 0.1396 0 0.4936 0.939452 0.939798
0.336707 0.341906 0 0.445094 0.228319 0.208694
444 415 0 36 174 253
0.13501 0.139583 0 0.4936 0.939382 0.939831
0.328792 0.354809 0 0.45632 0.163555 0.136266
693 617 0 70 203 262
0.134997 0.139603 0 0.4936 0.939145 0.939765
0.351215 0.375816 0 0.557281 0.229432 0.244256
592 549 0 66 201 252
0.134993 0.139596 0 0.493601 0.939178 0.941613
0.351359 0.353278 0 0.509748 0.260802 0.174563
587 464 0 51 202 254
0.134996 0.139607 0 0.4936 0.939332 0.939829
0.342671 0.391396 0 0.459462 0.238498 0.177529
380 371 0 44 179 261
0.135 0.139601 0 0.4936 0.939468 0.939829
0.355682 0.34821 0 0.501064 0.16417 0.158303
357 348 0 37 175 250
0.135 0.139601 0 0.493597 0.939471 0.939868
0.339834 0.336206 0 0.416286 0.152853 0.10364
364 352 0 39 172 258
0.135001 0.139596 0 0.4936 0.9395 0.939852
0.34749 0.373983 0 0.379419 0.142985 0.156213
310 278 0 32 187 243
0.135006 0.139591 0 0.4936 0.939439 0.939831
0.347203 0.359612 0 0.488562 0.171427 0.111056
527 483 0 44 189 250
0.134998 0.1396 0 0.493595 0.939286 0.939816
0.326942 0.363677 0 0.51805 0.222412 0.180402
457 430 0 35 181 253
0.135 0.139601 0 0.493597 0.939386 0.939844
0.340176 0.367495 0 0.496238 0.168821 0.148932
564 495 0 41 191 259
0.135002 0.139603 0 0.493601 0.939275 0.93981
0.343481 0.346574 0 0.399932 0.21571 0.195433
566 513 0 51 190 268
0.134998 0.1396 0 0.4936 0.939266 0.939815
0.327766 0.342751 0 0.438471 0.192248 0.193618
663 565 0 62 185 269
0.134999 0.139603 0 0.493602 0.939235 0.939824
0.347362 0.369977 0 0.429747 0.243367 0.167522
477 397 0 48 189 240
0.135004 0.139601 0 0.4936 0.939237 0.939839
0.336272 0.356791 0 0.50555 0.231767 0.145556
503 450 0 59 178 252
0.135 0.139602 0 0.4936 0.939426 0.939834
0.353557 0.369813 0 0.428318 0.177132 0.16022
498 444 0 44 183 257
0.135002 0.139596 0 0.493599 0.939368 0.93982
0.348911 0.362503 0 0.50974 0.213807 0.161115
542 527 0 56 197 251
0.135001 0.139603 0 0.493603 0.939225 0.939814
0.324014 0.360948 0 0.465844 0.250514 0.18662
555 519 0 54 207 235
0.134996 0.139603 0 0.493603 0.939243 0.939815
0.33034 0.366157 0 0.445694 0.244074 0.144694
619 524 0 58 182 262
0.135006 0.139596 0 0.4936 0.939332 0.939823
0.357129 0.378804 0 0.491409 0.217714 0.195281
608 486 0 66 188 261
0.135001 0.139596 0 0.493599 0.939307 0.939813
0.342907 0.378524 0 0.535221 0.189658 0.17525
496 441 0 40 189 253
0.135 0.139598 0 0.4936 0.939315 0.939821
0.329705 0.35638 0 0.435944 0.243255 0.185036
508 445 0 63 191 252
0.134999 0.139603 0 0.4936 0.93931 0.939826
0.339944 0.358406 0 0.477565 0.197979 0.174874
798 668 0 88 200 256
0.134997 0.139603 0 0.493599 0.939569 0.939796
0.344249 0.354976 0 0.416638 0.284753 0.224975
553 485 0 64 204 247
0.134992 0.139608 0 0.493603 0.939262 0.939834
0.352685 0.372165 0 0.40684 0.206543 0.144261
457 393 0 50 184 249
0.134997 0.139608 0 0.493595 0.939356 0.93982
0.326783 0.360918 0 0.471598 0.173889 0.167119
497 411 0 55 197 248
0.134999 0.139609 0 0.493579 0.939307 0.939822
0.327014 0.353361 0 0.49608 0.18667 0.14718
485 388 0 38 191 258
